yrbp,co2
63,315.23199999999997
62,315.98083333333335
61,316.90999999999997
60,317.64416666666665
59,318.45416666666665
58,318.9925
57,319.6166666666667
56,320.03583333333336
55,321.3691666666667
54,322.18083333333334
53,323.05
52,324.62333333333333
51,325.6816666666667
50,326.31916666666666
49,327.45666666666665
48,329.6775
47,330.19166666666666
46,331.11583333333334
45,332.0266666666667
44,333.84333333333336
43,335.415
42,336.8358333333333
41,338.7625
40,340.12
39,341.4791666666667
38,343.15166666666664
37,344.84833333333336
36,346.3516666666667
35,347.5490909090909
34,349.3125
33,351.69
32,353.205
31,354.4533333333333
30,355.70416666666665
29,356.5441666666667
28,357.2158333333333
27,358.95916666666665
26,360.9683333333333
25,362.74333333333334
24,363.8775
23,366.84000000000003
22,368.53999999999996
21,369.7075
20,371.31916666666666
19,373.4533333333333
18,375.98333333333335
17,377.6983333333333
16,379.98333333333335
15,382.0908333333333
14,384.025
13,385.8308333333333
12,387.6433333333333
11,390.1016666666667
10,391.9890909090909
9,394.05583333333334
8,396.7375
7,398.87083333333334
6,401.0125
5,404.4125
4,406.7575
3,408.715
2,411.6541666666667
1,414.23833333333334
0,417.3075
150,280.4
281,274.9
292,277.9
408,279.1
417,281.9
498,277.7
572,281.1
685,282.2
767,280.1
890,278.4
963,276.6
1073,279.1
1166,277.7
1246,278.7
1363,277.4
1466,279.2
1565,280
1651,278.9
1746,278.7
1825,278
1944,276.9
2070,276.7
2141,276.7
2225,277.6
2347,277.9
2446,273.9
2549,278.9
2617,275.3
2741,274.7
2819,276.3
2915,274.6
3066,276.3
3129,273.1
3228,274
3349,275
3466,273.4
3536,273
3635,271.5
3734,275.4
3803,274.9
3923,271.7
4017,271.6
4109,272.8
4174,271.5
4337,271.1
4387,269.1
4493,269.8
4586,271.5
4716,270.7
4779,269.3
4887,268.6
5017,269.8
5107,267.6
5173,265.3
5287,265.2
5383,267.6
5489,265.9
5575,265.5
5670,260.7
5729,266.7
5868,265.5
6011,263.2
6052,262.7
6144,261.2
6276,261.1
6367,259.4
6447,262.1
6558,262.9
6630,258.1
6726,257.6
6851,262.3
6954,263
7041,260.7
7125,258.4
7247,260.1
7333,260.4
7426,259.7
7520,259.2
7603,260.8
7704,259.6
7794,259.3
7889,258.3
8003,261.3
8063,260.7
8194,261.8
8294,259
8400,260.9
8490,260.4
8592,259.3
8666,262
8797,263.7
8882,263.8
8986,265.2
9105,260.6
9153,260.9
9245,263
9330,263.8
9549,264.4
9610,264.2
9734,264
9820,263.4
9922,265.7
9996,264.9
10101,267.5
10222,266.9
10307,266
10430,265.1
10540,267.6
10634,264.8
10757,264.8
10818,265
10840,265.3
10908,264.4
10946,264.1
11027,264.2
11100,264.5
11149,264
11214,263
11249,265.2
11291,258.8
11351,260.8
11405,255.4
11449,253.9
11482,253.8
11593,250.7
11648,249.7
11689,251.1
11740,250.7
11832,245.3
11909,245.3
11971,246.6
12063,243.2
12135,240.3
12384,237.5
12509,237.6
12655,234.2
12773,238.3
12955,237.3
13103,237.9
13254,237.6
13453,236.4
13555,239.2
13666,238.6
13817,238.6
13961,239.1
14316,228.5
14563,228.4
14738,226.1
14903,225.2
15025,224.5
15246,222
15451,221
15583,220.9
15755,219.4
15899,214
16086,207.5
16273,207.7
16465,202.9
16672,200.8
16883,195.2
17124,193.9
17388,191
17578,188.5
17822,188.5
17956,189.2
18298,187
18554,188.6
18841,189.4
18881,192.3
18934,188.3
19360,188.7
19522,188.8
19761,190
20001,188
20181,188.2
20210,195
20515,187.8
20761,186.9
21024,186.5
21270,184.7
21520,186.1
21867,185.7
22028,184.4
22840,189.2
26007,191.6
29076,188.5
30033,191.7
35022,205.3
37484,209.1
43513,209.1
47349,189.3
48867,188.4
49703,210.1
50676,215.7
52395,190.4
57101,221.7
57670,210.4
62872,195.3
64952,191.4
65952,194.9
71062,227.3
73240,229.1
77163,217.1
78196,221.7
80627,230.9
82430,241.1
83346,236.4
84029,228
85033,214.2
86194,217
87930,208
90370,224.2
91262,228.3
94366,232
99862,225.8
100850,230.8
101762,236.9
103478,228.1
104717,236.9
105649,230.6
107592,238.2
108166,245.6
109817,251.2
111875,256.7
113275,266.3
114109,261.4
114614,274.5
115131,273.2
116514,262.5
117763,267.6
118662,273.7
119685,271.9
120395,265.2
121030,277.6
122357,272.1
123083,276.4
124226,268.7
124270,266.6
124802,266.3
125094,279.7
125275,273
125447,277.1
126360,273.7
126611,267.1
126899,262.5
127145,262.6
127635,275.3
127920,275.6
128357,274
128385,287.1
128622,286.8
128879,282.6
129159,264.1
129353,263.4
129665,257.9
129749,259
131342,245
131468,240.4
131741,228.9
132505,223.5
133082,223.9
133118,220.3
133440,210.6
134136,208.9
134300,203.7
134973,204.5
135127,200.4
135220,198
135616,198
135896,201.7
136024,200.7
136264,202.4
136580,195.8
136668,201.1
137306,194.3
137646,193.4
137995,194.2
138198,190.2
139288,192.3
139630,196.5
140912,195.6
140973,196.4
142071,190.4
145376,196.9
148844,203
149816,191.9
149934,188.9
151436,200.6
154493,189
155408,185.5
155826,187.5
159575,204.3
159956,196.5
161692,191.6
162241,190.1
163037,186.7
163711,183.8
164452,196.6
167196,197.8
169505,197.7
171364,196
172447,190.3
173148,189.4
173407,190.1
175319,207.7
177152,213.2
178192,217.7
179130,198.1
180081,199.7
182059,203.4
184698,210.7
186710,231.3
188449,231.4
189089,220.3
190365,218
192923,226.5
193494,220
195030,226.4
195686,241.2
196192,242.6
198985,250.9
199931,239.1
201176,247.6
202426,244.4
202887,231.9
203330,232.2
203850,228.6
204493,226.3
204921,229.4
205375,231.4
205965,238.1
206157,237.2
206823,230
207133,240.5
207557,242.2
208077,244.6
208267,243.9
208816,247.2
209008,252
209445,246.9
209830,239.5
210167,257.4
210826,243.4
211871,251.2
212729,241.4
213283,240.3
213549,242.6
213997,247.5
214472,251.7
214807,251.1
215395,245.3
216365,240.5
218374,214.1
219129,216.1
220071,207.1
220752,208.8
222043,205.6
224282,203.3
224936,215.7
225922,235.5
226724,234.5
227040,233.1
227789,224.5
229436,232.4
230435,233.9
231079,241.6
234830,245.2
235493,252.1
236127,241.4
236747,247.4
237307,243.1
237881,239.1
238571,245.6
239026,245.8
239490,247.4
239986,252.8
240958,259.7
241379,263.2
242020,279
242359,280.2
243084,263.7
243442,252.3
243869,249.9
244360,236.7
244877,230.4
245454,219.4
247694,214.7
250146,200.2
251018,213.9
251877,195.4
252752,196.7
253649,195.4
255511,199
256322,201.9
257113,204
258674,203.9
260366,209.6
260929,205.7
262105,208.9
262943,214.6
264522,228.1
265666,199.9
266339,211.7
267455,188.7
268194,187.2
269167,194.2
270235,198.8
271269,184.7
272324,190.4
273323,193.9
274334,194.1
275363,198.4
276339,193.2
277374,202.2
278363,204.5
279333,211
280282,215.3
281771,223.7
283798,231.3
285393,228
286141,226.4
287049,231.4
287551,230.4
288246,231
290166,234.9
290743,220.4
291380,217.1
292418,207.6
293070,206
293792,206.7
294581,212.7
295943,213.1
297934,217.1
298754,224.4
299634,231
300485,236.1
301415,239
302293,236
303239,240.2
304245,240.7
304914,250.2
305668,248.6
306560,244.8
307508,225.8
308757,227.8
309402,226.2
