date,ice
1979-01-01,7.05
1980-01-01,7.67
1981-01-01,7.14
1982-01-01,7.3
1983-01-01,7.39
1984-01-01,6.81
1985-01-01,6.7
1986-01-01,7.41
1987-01-01,7.28
1988-01-01,7.37
1989-01-01,7.01
1990-01-01,6.14
1991-01-01,6.47
1992-01-01,7.47
1993-01-01,6.4
1994-01-01,7.14
1995-01-01,6.08
1996-01-01,7.58
1997-01-01,6.69
1998-01-01,6.54
1999-01-01,6.12
2000-01-01,6.25
2001-01-01,6.73
2002-01-01,5.83
2003-01-01,6.12
2004-01-01,5.98
2005-01-01,5.5
2006-01-01,5.86
2007-01-01,4.27
2008-01-01,4.69
2009-01-01,5.26
2010-01-01,4.87
2011-01-01,4.56
2012-01-01,3.57
2013-01-01,5.21
2014-01-01,5.22
2015-01-01,4.62
2016-01-01,4.53
2017-01-01,4.82
2018-01-01,4.79
2019-01-01,4.36
2020-01-01,3.92
