date,temp
1880-01-01,-0.16
1881-01-01,-0.08
1882-01-01,-0.1
1883-01-01,-0.17
1884-01-01,-0.28
1885-01-01,-0.33
1886-01-01,-0.31
1887-01-01,-0.36
1888-01-01,-0.17
1889-01-01,-0.11
1890-01-01,-0.35
1891-01-01,-0.22
1892-01-01,-0.27
1893-01-01,-0.31
1894-01-01,-0.3
1895-01-01,-0.23
1896-01-01,-0.11
1897-01-01,-0.11
1898-01-01,-0.27
1899-01-01,-0.18
1900-01-01,-0.08
1901-01-01,-0.16
1902-01-01,-0.28
1903-01-01,-0.37
1904-01-01,-0.47
1905-01-01,-0.27
1906-01-01,-0.23
1907-01-01,-0.39
1908-01-01,-0.43
1909-01-01,-0.48
1910-01-01,-0.43
1911-01-01,-0.44
1912-01-01,-0.36
1913-01-01,-0.34
1914-01-01,-0.15
1915-01-01,-0.14
1916-01-01,-0.36
1917-01-01,-0.46
1918-01-01,-0.3
1919-01-01,-0.28
1920-01-01,-0.28
1921-01-01,-0.19
1922-01-01,-0.29
1923-01-01,-0.27
1924-01-01,-0.27
1925-01-01,-0.22
1926-01-01,-0.11
1927-01-01,-0.22
1928-01-01,-0.2
1929-01-01,-0.36
1930-01-01,-0.16
1931-01-01,-0.09
1932-01-01,-0.16
1933-01-01,-0.28
1934-01-01,-0.12
1935-01-01,-0.2
1936-01-01,-0.15
1937-01-01,-0.03
1938-01-01,0
1939-01-01,-0.01
1940-01-01,0.13
1941-01-01,0.19
1942-01-01,0.07
1943-01-01,0.09
1944-01-01,0.2
1945-01-01,0.09
1946-01-01,-0.07
1947-01-01,-0.03
1948-01-01,-0.11
1949-01-01,-0.11
1950-01-01,-0.17
1951-01-01,-0.07
1952-01-01,0.01
1953-01-01,0.08
1954-01-01,-0.13
1955-01-01,-0.14
1956-01-01,-0.19
1957-01-01,0.05
1958-01-01,0.06
1959-01-01,0.03
1960-01-01,-0.03
1961-01-01,0.06
1962-01-01,0.03
1963-01-01,0.05
1964-01-01,-0.2
1965-01-01,-0.11
1966-01-01,-0.06
1967-01-01,-0.02
1968-01-01,-0.08
1969-01-01,0.05
1970-01-01,0.03
1971-01-01,-0.08
1972-01-01,0.01
1973-01-01,0.16
1974-01-01,-0.07
1975-01-01,-0.01
1976-01-01,-0.1
1977-01-01,0.18
1978-01-01,0.07
1979-01-01,0.16
1980-01-01,0.26
1981-01-01,0.32
1982-01-01,0.14
1983-01-01,0.31
1984-01-01,0.16
1985-01-01,0.12
1986-01-01,0.18
1987-01-01,0.32
1988-01-01,0.39
1989-01-01,0.27
1990-01-01,0.45
1991-01-01,0.4
1992-01-01,0.22
1993-01-01,0.23
1994-01-01,0.32
1995-01-01,0.45
1996-01-01,0.33
1997-01-01,0.46
1998-01-01,0.61
1999-01-01,0.38
2000-01-01,0.39
2001-01-01,0.54
2002-01-01,0.63
2003-01-01,0.62
2004-01-01,0.53
2005-01-01,0.68
2006-01-01,0.64
2007-01-01,0.66
2008-01-01,0.54
2009-01-01,0.66
2010-01-01,0.72
2011-01-01,0.61
2012-01-01,0.65
2013-01-01,0.68
2014-01-01,0.74
2015-01-01,0.89
2016-01-01,1.01
2017-01-01,0.92
2018-01-01,0.85
2019-01-01,0.98
2020-01-01,1.02
