year,ethnicity,legislation_type,geography,stops,population,rate
2006/07,All,All,All - excluding BTP,1037735,56075912,18.51
2007/08,All,All,All - excluding BTP,1214693,56075912,21.66
2008/09,All,All,All - excluding BTP,1495379,56075912,26.67
2009/10,All,All,All - excluding BTP,1345334,56075912,23.99
2009/10,All,Section 1,All - excluding BTP,1169012,56075912,20.85
2009/10,All,Section 44/47a,All - excluding BTP,85310,56075912,1.83
2009/10,All,Section 60,All - excluding BTP,119639,56075912,2.13
2010/11,All,All,All - excluding BTP,1272799,56075912,22.7
2010/11,All,Section 1,All - excluding BTP,1220248,56075912,21.759999999999998
2010/11,All,Section 44/47a,All - excluding BTP,8929,56075912,0.17
2010/11,All,Section 60,All - excluding BTP,62344,56075912,1.11
2011/12,All,All,All - excluding BTP,1171052,56075912,20.88
2011/12,All,Section 1,All - excluding BTP,1136117,56075912,20.259999999999998
2011/12,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2011/12,All,Section 60,All - excluding BTP,46882,56075912,0.8400000000000001
2012/13,All,All,All - excluding BTP,999457,56075912,17.82
2012/13,All,Section 1,All - excluding BTP,1004757,56075912,17.919999999999998
2012/13,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2012/13,All,Section 60,All - excluding BTP,5340,56075912,0.1
2013/14,All,All,All - excluding BTP,883808,56075912,15.76
2013/14,All,Section 1,All - excluding BTP,893267,56075912,15.93
2013/14,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2013/14,All,Section 60,All - excluding BTP,3896,56075912,0.07
2014/15,All,All,All - excluding BTP,528847,56075912,9.43
2014/15,All,Section 1,All - excluding BTP,534614,56075912,9.53
2014/15,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2014/15,All,Section 60,All - excluding BTP,1055,56075912,0.02
2015/16,All,All,All - excluding BTP,374651,56075912,6.68
2015/16,All,Section 1,All - excluding BTP,380940,56075912,6.79
2015/16,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2015/16,All,Section 60,All - excluding BTP,965,56075912,0.02
2016/17,All,All,All - excluding BTP,296555,56075912,5.29
2016/17,All,Section 1,All - excluding BTP,298600,56075912,5.319999999999999
2016/17,All,Section 44/47a,All - excluding BTP,0,56075912,NA
2016/17,All,Section 60,All - excluding BTP,628,56075912,0.01
2017/18,All,All,All - excluding BTP,274594,56075912,4.9
2017/18,All,Section 1,All - excluding BTP,274754,56075912,4.9
2017/18,All,Section 44/47a,All - excluding BTP,4,56075912,0
2017/18,All,Section 60,All - excluding BTP,2496,56075912,0.04
2018/19,All,All,All - excluding BTP,370801,56075912,6.609999999999999
2018/19,All,Section 1,All - excluding BTP,357020,56075912,6.37
2018/19,All,Section 44/47a,All - excluding BTP,0,56075912,0
2018/19,All,Section 60,All - excluding BTP,12258,56075912,NA
2019/20,All,All,All - excluding BTP,557085,56075912,9.93
2019/20,All,Section 1,All - excluding BTP and Greater Manchester,537442,56075912,9.58
2019/20,All,Section 44/47a,All - excluding BTP and Greater Manchester,0,56075912,0
2019/20,All,Section 60,All - excluding BTP and Greater Manchester,17040,56075912,NA
2006/07,All,All,All - excluding BTP and Greater Manchester,991644,53393384,18.57
2007/08,All,All,All - excluding BTP and Greater Manchester,1163999,53393384,21.8
2008/09,All,All,All - excluding BTP and Greater Manchester,1442348,53393384,27.01
2009/10,All,All,All - excluding BTP and Greater Manchester,1302807,53393384,24.4
2010/11,All,All,All - excluding BTP and Greater Manchester,1222264,53393384,22.89
2011/12,All,All,All - excluding BTP and Greater Manchester,1118621,53393384,20.95
2012/13,All,All,All - excluding BTP and Greater Manchester,965680,53393384,18.09
2013/14,All,All,All - excluding BTP and Greater Manchester,856133,53393384,16.03
2014/15,All,All,All - excluding BTP and Greater Manchester,514909,53393384,9.639999999999999
2015/16,All,All,All - excluding BTP and Greater Manchester,369683,53393384,6.92
2016/17,All,All,All - excluding BTP and Greater Manchester,293822,53393384,5.5
2017/18,All,All,All - excluding BTP and Greater Manchester,272091,53393384,5.1
2018/19,All,All,All - excluding BTP and Greater Manchester,366186,53393384,6.859999999999999
2019/20,All,All,All - excluding BTP and Greater Manchester,554482,53393384,10.38
2009/10,All,All,All - including BTP,1391079,56075912,24.810000000000002
2010/11,All,All,All - including BTP,1292314,56075912,23.05
2011/12,All,All,All - including BTP,1182999,56075912,21.1
2012/13,All,All,All - including BTP,1010097,56075912,18.01
2013/14,All,All,All - including BTP,897163,56075912,16
2014/15,All,All,All - including BTP,535669,56075912,9.55
2015/16,All,All,All - including BTP,378367,56075912,6.75
2016/17,All,All,All - including BTP,299228,56075912,5.34
2017/18,All,All,All - including BTP,277508,56075912,4.95
2018/19,All,All,All - including BTP,377111,56075912,6.73
2019/20,All,All,All - including BTP,566440,56075912,10.1
2006/07,All,All,All - including BTP and excluding Greater Manchester,NA,NA,NA
2007/08,All,All,All - including BTP and excluding Greater Manchester,NA,NA,NA
2008/09,All,All,All - including BTP and excluding Greater Manchester,NA,NA,NA
2009/10,All,All,All - including BTP and excluding Greater Manchester,1348552,53393384,25.259999999999998
2010/11,All,All,All - including BTP and excluding Greater Manchester,1241779,53393384,23.259999999999998
2011/12,All,All,All - including BTP and excluding Greater Manchester,1130568,53393384,21.17
2012/13,All,All,All - including BTP and excluding Greater Manchester,976320,53393384,18.29
2013/14,All,All,All - including BTP and excluding Greater Manchester,869488,53393384,16.279999999999998
2014/15,All,All,All - including BTP and excluding Greater Manchester,521731,53393384,9.77
2015/16,All,All,All - including BTP and excluding Greater Manchester,373399,53393384,6.99
2016/17,All,All,All - including BTP and excluding Greater Manchester,296495,53393384,5.55
2017/18,All,All,All - including BTP and excluding Greater Manchester,275005,53393384,5.1499999999999995
2018/19,All,All,All - including BTP and excluding Greater Manchester,372496,53393384,6.98
2019/20,All,All,All - including BTP and excluding Greater Manchester,563837,53393384,10.56
2006/07,All,All,Avon & Somerset,15018,1599555,9.39
2007/08,All,All,Avon & Somerset,11806,1599555,7.38
2008/09,All,All,Avon & Somerset,18306,1599555,11.44
2009/10,All,All,Avon & Somerset,16624,1599555,10.39
2010/11,All,All,Avon & Somerset,19304,1599555,12.07
2011/12,All,All,Avon & Somerset,24329,1599555,15.209999999999999
2012/13,All,All,Avon & Somerset,32672,1599555,20.43
2013/14,All,All,Avon & Somerset,24672,1599555,15.42
2014/15,All,All,Avon & Somerset,10399,1599555,6.5
2015/16,All,All,Avon & Somerset,5598,1599555,3.5
2016/17,All,All,Avon & Somerset,6305,1599555,3.94
2017/18,All,All,Avon & Somerset,5676,1599555,3.55
2018/19,All,All,Avon & Somerset,6026,1599555,3.77
2019/20,All,All,Avon & Somerset,8327,1599555,5.21
2006/07,All,All,Bedfordshire,4768,615061,7.75
2007/08,All,All,Bedfordshire,5025,615061,8.17
2008/09,All,All,Bedfordshire,8465,615061,13.76
2009/10,All,All,Bedfordshire,7295,615061,11.860000000000001
2010/11,All,All,Bedfordshire,9523,615061,15.48
2011/12,All,All,Bedfordshire,7621,615061,12.39
2012/13,All,All,Bedfordshire,8382,615061,13.629999999999999
2013/14,All,All,Bedfordshire,6453,615061,10.49
2014/15,All,All,Bedfordshire,2972,615061,4.83
2015/16,All,All,Bedfordshire,2208,615061,3.59
2016/17,All,All,Bedfordshire,1583,615061,2.57
2017/18,All,All,Bedfordshire,1395,615061,2.27
2018/19,All,All,Bedfordshire,2217,615061,3.6
2019/20,All,All,Bedfordshire,3345,615061,5.44
2009/10,All,All,British Transport Police,45745,NA,NA
2010/11,All,All,British Transport Police,19515,NA,NA
2011/12,All,All,British Transport Police,11947,NA,NA
2012/13,All,All,British Transport Police,10640,NA,NA
2013/14,All,All,British Transport Police,13355,NA,NA
2014/15,All,All,British Transport Police,6822,NA,NA
2015/16,All,All,British Transport Police,3716,NA,NA
2016/17,All,All,British Transport Police,2673,NA,NA
2017/18,All,All,British Transport Police,2914,NA,NA
2018/19,All,All,British Transport Police,6310,NA,NA
2019/20,All,All,British Transport Police,9355,NA,NA
2006/07,All,All,Cambridgeshire,8773,804841,10.9
2007/08,All,All,Cambridgeshire,10053,804841,12.49
2008/09,All,All,Cambridgeshire,5437,804841,6.76
2009/10,All,All,Cambridgeshire,6293,804841,7.819999999999999
2010/11,All,All,Cambridgeshire,13574,804841,16.87
2011/12,All,All,Cambridgeshire,17420,804841,21.64
2012/13,All,All,Cambridgeshire,16878,804841,20.97
2013/14,All,All,Cambridgeshire,12948,804841,16.09
2014/15,All,All,Cambridgeshire,6024,804841,7.48
2015/16,All,All,Cambridgeshire,3098,804841,3.8499999999999996
2016/17,All,All,Cambridgeshire,1256,804841,1.56
2017/18,All,All,Cambridgeshire,940,804841,1.1700000000000002
2018/19,All,All,Cambridgeshire,1668,804841,2.07
2019/20,All,All,Cambridgeshire,2425,804841,3.01
2006/07,All,All,Cheshire,6472,1027709,6.3
2007/08,All,All,Cheshire,5623,1027709,5.470000000000001
2008/09,All,All,Cheshire,5046,1027709,4.91
2009/10,All,All,Cheshire,5279,1027709,5.14
2010/11,All,All,Cheshire,6068,1027709,5.9
2011/12,All,All,Cheshire,7914,1027709,7.7
2012/13,All,All,Cheshire,5016,1027709,4.88
2013/14,All,All,Cheshire,6668,1027709,6.49
2014/15,All,All,Cheshire,9368,1027709,9.12
2015/16,All,All,Cheshire,5865,1027709,5.71
2016/17,All,All,Cheshire,2665,1027709,2.59
2017/18,All,All,Cheshire,2202,1027709,2.14
2018/19,All,All,Cheshire,2320,1027709,2.2600000000000002
2019/20,All,All,Cheshire,4018,1027709,3.9099999999999997
2006/07,All,All,Cleveland,12137,557227,21.779999999999998
2007/08,All,All,Cleveland,15822,557227,28.39
2008/09,All,All,Cleveland,17576,557227,31.54
2009/10,All,All,Cleveland,24489,557227,43.949999999999996
2010/11,All,All,Cleveland,30327,557227,54.42
